2018 Dec 29 08:30:00 PM,30,SNOW,"DARKNESS, LIGHTED ROAD",TURNING,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,700,N,RACINE AVE,41.89442373,-87.65761242,POINT (-87.657612424468 41.89442373109)
2018 Dec 29 04:15:00 PM,30,SNOW,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,"$501 - $1,500",IMPROPER LANE USAGE,624,N,HALSTED ST,41.89313364,-87.64780859,POINT (-87.64780859112 41.893133639583)
2018 Dec 28 03:27:00 PM,30,CLEAR,DAYLIGHT,ANGLE,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,750,N,OGDEN AVE,41.8955426,-87.65542425,POINT (-87.655424248165 41.8955426017)
2018 Dec 28 12:00:00 PM,30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,"$501 - $1,500",UNABLE TO DETERMINE,504,N,GREEN ST,41.89133821,-87.64894251,POINT (-87.648942508348 41.891338205953)
2018 Dec 24 07:15:00 AM,30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,"OVER $1,500",UNABLE TO DETERMINE,1020,W,HURON ST,41.89450195,-87.65339161,POINT (-87.653391610462 41.894501945346)
2018 Dec 20 06:30:00 PM,30,RAIN,DARKNESS,TURNING,"$501 - $1,500",FAILING TO YIELD RIGHT-OF-WAY,1032,W,GRAND AVE,41.89122956,-87.6535221,POINT (-87.653522101813 41.89122955452)
2018 Dec 19 03:23:00 PM,5,CLEAR,DAYLIGHT,FIXED OBJECT,$500 OR LESS,UNABLE TO DETERMINE,1129,W,CHICAGO AVE,41.89613873,-87.65634571,POINT (-87.65634571324 41.896138734273)
2018 Dec 18 10:47:00 AM,30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,"OVER $1,500",IMPROPER LANE USAGE,1025,W,HURON ST,41.89428162,-87.65350006,POINT (-87.653500056811 41.894281617735)
2018 Dec 18 08:20:00 AM,30,CLEAR,DAYLIGHT,REAR END,"OVER $1,500",FOLLOWING TOO CLOSELY,800,W,GRAND AVE,41.89129371,-87.64768059,POINT (-87.647680593026 41.891293712961)
2018 Dec 14 06:29:00 PM,30,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,$500 OR LESS,UNABLE TO DETERMINE,658,N,HALSTED ST,41.89395876,-87.64784119,POINT (-87.647841187649 41.893958762604)
2018 Dec 12 08:20:00 PM,30,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,"OVER $1,500",FOLLOWING TOO CLOSELY,612,N,HALSTED ST,41.89278268,-87.64776455,POINT (-87.647764544543 41.892782678902)
2018 Dec 12 06:10:00 PM,30,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,"OVER $1,500",IMPROPER LANE USAGE,771,N,MILWAUKEE AVE,41.89591575,-87.65468981,POINT (-87.654689811561 41.895915749684)
2018 Dec 12 03:30:00 PM,30,CLEAR,DAYLIGHT,TURNING,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,522,N,MILWAUKEE AVE,41.89173287,-87.64865419,POINT (-87.648654192939 41.891732865147)
2018 Dec 11 01:30:00 PM,30,CLEAR,DAYLIGHT,TURNING,$500 OR LESS,UNABLE TO DETERMINE,598,N,OGDEN AVE,41.89256389,-87.65792004,POINT (-87.657920041031 41.892563887363)
2018 Dec 11 11:45:00 AM,30,CLEAR,DAYLIGHT,TURNING,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,703,N,MORGAN ST,41.8947061,-87.65280496,POINT (-87.652804962684 41.894706094633)
2018 Dec 11 09:30:00 AM,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,"$501 - $1,500",IMPROPER OVERTAKING/PASSING,1121,W,CHICAGO AVE,41.89614582,-87.65601177,POINT (-87.656011768511 41.896145824342)
2018 Dec 10 08:30:00 AM,30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,"$501 - $1,500",NOT APPLICABLE,820,W,GRAND AVE,41.89128065,-87.64855865,POINT (-87.648558649486 41.891280654431)
2018 Dec 07 07:58:00 AM,25,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,"OVER $1,500",UNABLE TO DETERMINE,700,N,RACINE AVE,41.89442373,-87.65761242,POINT (-87.657612424468 41.89442373109)
2018 Dec 01 07:30:00 PM,30,SNOW,"DARKNESS, LIGHTED ROAD",TURNING,"$501 - $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,832,W,GRAND AVE,41.89127925,-87.64885094,POINT (-87.648850938997 41.891279247529)
2018 Nov 30 05:17:00 PM,30,CLEAR,DARKNESS,SIDESWIPE SAME DIRECTION,"$501 - $1,500",UNABLE TO DETERMINE,1025,W,HURON ST,41.89428162,-87.65350006,POINT (-87.653500056811 41.894281617735)
2018 Nov 30 01:21:00 PM,30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,$500 OR LESS,IMPROPER TURNING/NO SIGNAL,724,N,SANGAMON ST,41.89576285,-87.65130619,POINT (-87.65130618905 41.895762847722)
2018 Nov 29 03:16:00 PM,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,"OVER $1,500",IMPROPER OVERTAKING/PASSING,651,N,OGDEN AVE,41.89390208,-87.65646329,POINT (-87.656463285547 41.89390207519)
2018 Nov 29 09:40:00 AM,30,CLEAR,DAYLIGHT,REAR END,"OVER $1,500",WEATHER,1129,W,CHICAGO AVE,41.89613873,-87.65634571,POINT (-87.65634571324 41.896138734273)
2018 Nov 28 10:20:00 AM,30,CLEAR,DAYLIGHT,REAR END,"OVER $1,500",FOLLOWING TOO CLOSELY,701,N,ABERDEEN ST,41.89445591,-87.65407954,POINT (-87.654079542998 41.894455908779)
2018 Nov 27 05:00:00 PM,30,SNOW,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,"OVER $1,500",UNABLE TO DETERMINE,1200,W,GRAND AVE,41.89118941,-87.65747031,POINT (-87.657470309402 41.891189414133)
